id,name,year,min_players,max_players,playtime,min_age,num_ratings,avg_rating,rank,complexity,owners,mechanics,categories
8133,Titan,1980,2,6,240,12,4.78,19784,3.38,582,"Action Points, Area Movement, Point to Point Movement, Variable Player Powers",
13416,Tim Burton's The Nightmare Before Christmas Game,2004,2,6,0,8,67,4.27,19785,1.17,209,Roll / Spin and Move,
2540,Beest,2001,3,6,45,11,53,3.79,19786,2.33,115,"Team-Based Game, Tile Placement, Variable Player Powers",
271349,Kingsburg: The Dice Game,2019,2,5,40,10,89,4.63,19787,1.67,106,"Dice Rolling, Push Your Luck, Worker Placement",
171090,Monopoly Junior: Disney Frozen,2014,2,3,30,5,59,4.01,19788,0,161,Roll / Spin and Move,
21702,Big Fish Lil' Fish,2005,2,6,15,6,101,4.51,19789,1,224,"Simultaneous Action Selection, Trick-taking",Children's Games
1972,Game of the Year,1989,2,6,60,12,111,4.74,19790,1.17,246,,
2518,Quicksand,1989,2,4,30,8,123,4.70,19791,1.08,263,Roll / Spin and Move,
24782,The Amazing Race: DVD Board Game,2006,2,4,0,13,73,4.18,19792,1.25,176,,
4470,Xanth,1991,1,6,180,12,171,4.95,19793,1.64,492,"Pick-up and Deliver, Roll / Spin and Move, Set Collection",
15111,Yahtzee: Texas Hold'em,2004,2,6,30,18,266,5.13,19794,1.54,853,Betting and Bluffing,"Family Games, Party Games"
1963,Risk 'n' Roll 2000,1999,2,6,20,10,90,4.58,19795,1.17,225,"Betting and Bluffing, Dice Rolling, Push Your Luck",
31016,We Didn't Playtest This At All,2007,2,10,10,12,3045,5.49,19796,1.09,5707,"Hand Management, Memory, Player Elimination, Rock-Paper-Scissors, Take That",Party Games
2816,Crossfire,1971,2,2,10,7,458,5.33,19797,1.13,496,,Children's Games
1855,Hedbanz for Adults!,1991,3,10,60,8,891,5.39,19798,1.09,2244,Deduction,Party Games
3676,Global Pursuit,1987,2,6,60,10,250,5.21,19799,1.84,847,Tile Placement,Family Games
1556,Tenjo,2001,2,4,360,12,197,5.00,19800,3.69,403,"Dice Rolling, Hand Management, Point to Point Movement",Wargames
2394,Dominoes,1500,2,10,30,5,5894,5.47,19801,1.38,11311,"Pattern Building, Pattern Recognition, Team-Based Game, Tile Placement",Abstract Games
